index;client;parrent;client_bin/tin;type;value;del_mark
1; A01 Ayrosa (Айроса);;1,6074E+11;Рабочий телефон;+7 (747) 4878935;Нет
2; A01 Ayrosa (Айроса);;1,6074E+11;Рабочий е-mail;hello@ayrosa.kz;Нет
3; A01 Ayrosa (Айроса);;1,6074E+11;Факт. адрес;Астана, Габдуллина 5, 5 этаж, 501 офис;Нет
4; A01 Ayrosa (Айроса);;1,6074E+11;Evernote;evernote:///view/149516922/s588/ca64a35f-7905-490f-8397-620e37ac6ffa/ca64a35f-7905-490f-8397-620e37ac6ffa/be43da11-8531-496f-bde6-d22fa025be39;Нет
5; A01 Ayrosa (Айроса);;1,6074E+11;Сайт;ayrosa.kz;Нет
6; A02 AVITIM(АВИТИМ);;70940010021;Рабочий телефон;+7 (727) 3573065;Нет
7; A02 AVITIM(АВИТИМ);;70940010021;Рабочий е-mail;hotline@avitim.kz;Нет
8; A02 AVITIM(АВИТИМ);;70940010021;Факт. адрес;г Алматы, Абая 52В, офис 620, 530;Нет
9; A02 AVITIM(АВИТИМ);;70940010021;Evernote;evernote:///view/240676585/s588/e6e0325c-b00e-4f1b-bdaf-ec1798678d30/e6e0325c-b00e-4f1b-bdaf-ec1798678d30/fbee1f63-52da-4b23-91e8-040a1ac07367;Нет
10; A02 AVITIM(АВИТИМ);;70940010021;Сайт;http://www.avitim.kz/;Нет
11; A02 INVISION group (инвижион сайтоделы, наши партнеры);;1,1114E+11;Телефон контрагента 2;+7 (727) 3187700;Нет
12; A02 INVISION group (инвижион сайтоделы, наши партнеры);;1,1114E+11;Рабочий телефон;+7 727 225-82-94;Нет
13; A02 INVISION group (инвижион сайтоделы, наши партнеры);;1,1114E+11;Факт. адрес;РК, г. Алматы, бульвар Бухар жырау, 23 офис 41;Нет
14; A02 INVISION group (инвижион сайтоделы, наши партнеры);;1,1114E+11;Факт. адрес 81;г. Алматы, Абая 52В, 527 кабинет;Нет
15; A02 INVISION group (инвижион сайтоделы, наши партнеры);;1,1114E+11;Сайт;http://invision.kz/;Нет
16; A02 Рояль кусто (royal kusto, наши партнеры);;8,40722E+11;Факт. адрес;г.Алматы, Абая, дом № 52В;Нет
17; A02 Рояль кусто (royal kusto, наши партнеры);;8,40722E+11;Факт. адрес 1;микрорайон Тастак-1, 1в;Нет
18; A02 Рояль кусто (royal kusto, наши партнеры);;8,40722E+11;Факт. адрес 82;проспект Жибек Жолы, 111;Нет
19; A02 Рояль кусто (royal kusto, наши партнеры);;8,40722E+11;Evernote;evernote:///view/240676585/s588/e3eeccdf-3303-4092-bec7-d9028097ca5c/e3eeccdf-3303-4092-bec7-d9028097ca5c/fbee1f63-52da-4b23-91e8-040a1ac07367;Нет
20; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Рабочий телефон;+7 (727) 3901112;Нет
21; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Телефон контрагента 2;+7 (707) 3901112;Нет
22; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Адрес электронной почты контрагента для обмена электронными документами;info@itsupport.kz;Нет
23; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Рабочий е-mail;it@itsupport.kz;Нет
24; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес;ул Абая 52В этаж 6 каб 622, 623, 624;Нет
25; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 1;г.Алматы, Абая - Тургут Озала, ЖК Гаухартас;Нет
26; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 12;Толе би 284, 6этаж 31 квартира;Нет
27; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 13;"Брусиловского 107Б угл ул. Толе би, рынок Тастак. Здание ""Merit link"", 1этаж, 129 бутик. Работаем с 10.00 до 16.30.";Нет
28; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 14;улица Карасай Батыра 185, Алматы 050008;Нет
29; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 15;Кунаева 181Б;Нет
30; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 16;Пестковского 33а;Нет
31; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 17;Абая 136/1;Нет
32; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 18;ул. Татибекова 46, Алматы;Нет
33; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 19;Толе би, 95а, Алматы;Нет
34; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 20;ул. Бокейханова, д. 406, (ныне ул. Аэродромная ниже пр. Рыскулова), дом № 406;Нет
35; А02 ТОО IT Support Group (ITSG, саппорт, сапорт );;70940025703;Факт. адрес 21;Алматы, Жарокова 330;Нет
